AX:0.009521484375, AY:0.076416015625, AZ:0.97119140625, WX:8.331298828125, WY:4.9285888671875, WZ:2.83050537109375, MX:34.130859375, MY:-15.673828125, MZ:-23.291015625
AX:0.023193359375, AY:0.071044921875, AZ:0.994140625, WX:6.28662109375, WY:1.44195556640625, WZ:-27.3590087890625, MX:35.302734375, MY:-14.794921875, MZ:-23.291015625
AX:-0.0458984375, AY:0.0322265625, AZ:0.9833984375, WX:5.401611328125, WY:2.14385986328125, WZ:-4.49371337890625, MX:46.2890625, MY:-20.21484375, MZ:-22.55859375
AX:-0.0185546875, AY:0.03173828125, AZ:0.95947265625, WX:7.80487060546875, WY:1.18255615234375, WZ:1.46484375, MX:47.4609375, MY:-21.38671875, MZ:-21.6796875
AX:-0.0419921875, AY:0.015869140625, AZ:0.964111328125, WX:5.0506591796875, WY:-1.0223388671875, WZ:3.01361083984375, MX:47.16796875, MY:-20.5078125, MZ:-23.73046875
AX:-0.029296875, AY:0.048095703125, AZ:0.965576171875, WX:15.13671875, WY:6.93511962890625, WZ:73.974609375, MX:45.99609375, MY:-19.921875, MZ:-22.8515625
AX:-0.0234375, AY:0.0859375, AZ:0.941162109375, WX:2.25067138671875, WY:-0.14495849609375, WZ:-0.640869140625, MX:35.44921875, MY:-16.40625, MZ:-23.14453125
AX:-0.01513671875, AY:0.07177734375, AZ:0.95068359375, WX:5.80596923828125, WY:0.8544921875, WZ:-1.38092041015625, MX:34.716796875, MY:-14.208984375, MZ:-23.291015625
AX:0.005126953125, AY:0.085205078125, AZ:0.974609375, WX:4.638671875, WY:-1.922607421875, WZ:-1.30462646484375, MX:36.03515625, MY:-15.8203125, MZ:-22.8515625
AX:-0.058837890625, AY:0.02685546875, AZ:0.95556640625, WX:4.241943359375, WY:3.4332275390625, WZ:-45.562744140625, MX:48.92578125, MY:-22.8515625, MZ:-25.78125
AX:-0.127685546875, AY:0.01513671875, AZ:0.95458984375, WX:0.05340576171875, WY:3.4637451171875, WZ:0.579833984375, MX:53.3203125, MY:-28.125, MZ:-25.48828125
AX:-0.18115234375, AY:0.029052734375, AZ:0.962158203125, WX:3.53240966796875, WY:-0.3662109375, WZ:-4.40216064453125, MX:53.90625, MY:-27.5390625, MZ:-25.1953125
AX:-0.06591796875, AY:0.070068359375, AZ:0.942626953125, WX:5.889892578125, WY:2.8839111328125, WZ:-4.93621826171875, MX:31.0546875, MY:-12.01171875, MZ:-22.55859375
AX:-0.062255859375, AY:0.07373046875, AZ:0.951416015625, WX:3.631591796875, WY:5.85174560546875, WZ:-0.89263916015625, MX:30.76171875, MY:-11.1328125, MZ:-24.0234375
AX:-0.048583984375, AY:0.052734375, AZ:0.9560546875, WX:4.5013427734375, WY:1.9073486328125, WZ:-1.79290771484375, MX:31.0546875, MY:-10.83984375, MZ:-23.14453125
AX:-0.087646484375, AY:0.051513671875, AZ:0.951904296875, WX:4.1961669921875, WY:1.68609619140625, WZ:-1.89208984375, MX:30.76171875, MY:-12.59765625, MZ:-24.90234375
AX:-0.07470703125, AY:0.04345703125, AZ:0.95556640625, WX:4.32586669921875, WY:0.6561279296875, WZ:-1.48773193359375, MX:31.34765625, MY:-11.71875, MZ:-24.0234375
AX:-0.089111328125, AY:0.02197265625, AZ:0.92626953125, WX:12.47406005859375, WY:-3.02886962890625, WZ:0.28228759765625, MX:32.666015625, MY:-12.451171875, MZ:-23.583984375
AX:-0.009521484375, AY:0.0498046875, AZ:0.9599609375, WX:0.7476806640625, WY:0.9765625, WZ:-6.317138671875, MX:33.544921875, MY:-13.330078125, MZ:-22.705078125
AX:0.00732421875, AY:0.029052734375, AZ:0.963134765625, WX:5.40924072265625, WY:2.1209716796875, WZ:-2.43377685546875, MX:36.474609375, MY:-12.744140625, MZ:-21.240234375
AX:0.004638671875, AY:0.0400390625, AZ:0.97021484375, WX:4.9285888671875, WY:2.89154052734375, WZ:-3.73077392578125, MX:37.20703125, MY:-13.4765625, MZ:-20.80078125
AX:0.00390625, AY:0.03515625, AZ:0.96142578125, WX:5.340576171875, WY:5.07354736328125, WZ:-2.62451171875, MX:38.96484375, MY:-13.76953125, MZ:-20.5078125
AX:-0.00634765625, AY:0.045166015625, AZ:0.964111328125, WX:6.6375732421875, WY:2.55584716796875, WZ:-2.34222412109375, MX:38.525390625, MY:-15.380859375, MZ:-22.119140625
AX:0.00244140625, AY:0.0615234375, AZ:0.962890625, WX:5.8746337890625, WY:4.6539306640625, WZ:-3.2806396484375, MX:40.13671875, MY:-15.234375, MZ:-21.97265625
AX:-0.00830078125, AY:0.059814453125, AZ:0.954833984375, WX:4.23431396484375, WY:0.06103515625, WZ:-2.288818359375, MX:41.015625, MY:-14.94140625, MZ:-21.6796875
AX:-0.008056640625, AY:0.05078125, AZ:0.96044921875, WX:4.669189453125, WY:1.5106201171875, WZ:-5.5084228515625, MX:43.65234375, MY:-16.69921875, MZ:-21.09375
